name,adress,lattitude,longitude
Школа № 717,"ул. Зои и Александра Космодемьянских, д. 4А",55.817421,37.504861
Школа № 727,"3-й Лихачевский пер., д. 2А",55.846851,37.516844
Школа № 744 имени Петра Николаевича Еремеева,"Ленинградское шоссе, д. 30",55.829112,37.491009
Школа № 771,"ул. Софьи Ковалевской, д. 8 А",55.882611,37.53437
Школа № 1125 имени Я.Н. Федоренко,"ул. Бусиновская Горка, д. 7, к. 2",55.882389,37.492446
Школа № 1159,"Солнечногорский пр., д. 7",55.859029,37.523034
Школа № 1164,"ул. Писцовая, д. 7А",55.797291,37.574399
Школа № 1601 имени Героя Советского Союза Е.К. Лютикова,"ул. Нижняя Масловка, д. 16",55.792296,37.573474
Школа Дмитровский имени Героя Советского Союза В.П. Кислякова,"Дмитровское ш., д. 137А",55.892309,37.540003
Школа № 1678 Восточное Дегунино,"ул. Дубнинская , д. 46, корп.2",55.891451,37.560763
Центр образования Школа здоровья № 1679,"Новопетровская ул., д. 1а",55.827661,37.519225
Школа № 2099,"ул. 3-я Радиаторская, д. 8А",55.817502,37.493263
Школа Технологии обучения,"ул. Красноармейская, д. 15",55.800084,37.541871
Кадетская школа-интернат № 1 Первый Московский кадетский корпус,"улица Вучетича, дом 30, строение 1",55.815741,37.559685
Медицинский Сеченовский Предуниверсарий,"1-я Бородинская улица, 2",55.74677,37.570132
Школа Технологии обучения,"ул. Красноармейская, д. 15",55.800084,37.541871
Школа с углубленным изучением отдельных предметов № 1973,"улица Лобачевского, дом 92",55.680722,37.484559
Школа Интеллектуал,"ул. Кременчугская, д. 13",55.718141,37.464203
Школа № 814,"Веерная улица, дом 5, корпус 3",55.706543,37.474731
Школа № 1018,"улица Шолохова, дом 20",55.640985,37.351078
"Колледж градостроительства, транспорта и технологий № 41","Бобруйская улица, дом 7",55.736194,37.399506
Школа № 1306 - Школа молодых политиков,"Мичуринский проспект, дом 15, корпус 2",55.69799,37.509128
Школа № 1542,"улица Авиаторов, дом 8, корпус 2",55.646584,37.399964
Московская школа на Юго-Западе № 1543,"ул 26 Бакинских комиссаров, д4. к5",55.658149,37.492733
Школа № 67,"Кутузовский проезд, д.10",55.741409,37.523366
Школа № 1584,"Рублевское ш. , д.24, корп.3",55.745123,37.428926
Школа № 1596,"ул. Приречная, д. 1",55.641615,37.371326
Западный комплекс непрерывного образования,"ул. Гвардейская, д. 15, корп. 2",55.724753,37.422099
Школа № 14,"ул. Академика Анохина, д. 32",55.661983,37.465802
Школа № 64,"ул. Партизанская, д. 30, к. 2, стр. 2",55.73703,37.414176
Школа № 74,"ул. Пырьева, д. 11",55.727759,37.523231
Школа № 37,"улица Столетова, дом 3",55.703271,37.504025
Школа № 72 (ОЦ Протон),"Большая Филёвская улица, дом 15",55.747454,37.498599
Школа № 1248,"ул. Давыдковская, д. 2, корп. 6",55.725554,37.473698
Школа № 1347,"ул. Главмосстроя, д. 28",55.657535,37.406531
Школа № 324 Жар-птица,"ул. Лобачевского, 54",55.672757,37.492805
Школа Интеграл,"ул. Кастанаевская, д. 10",55.740446,37.495419
Образовательный центр Протон,"Филевский блв., д. 3, к. 2",55.764425,37.491359
Школа № 1130,"ул. Осенняя, д. 8, к. 1 и 3",55.762318,37.40433
Школа № 1400,"Можайское шоссе, д. 38, к. 7",55.721016,37.411526
Школа № 1434 Раменки,"ул. Раменки, д. 15, корп. 1",55.690461,37.500405
Школа № 1498 Московская Международная Школа,"Мичуринский просп., д. 23",55.694124,37.507026
Школа № 1589,"Инициативная ул., д. 1",55.716595,37.461095
Центр образования № 1816 (СП СОШ Интеграл),"ул. Кастанаевская, д. 9А",55.737821,37.495096
Центр образования и спорта «Москва-98»,"ул. Удальцова, д. 40",55.684046,37.493533
Школа № 2025,"ул. Большая Очаковская, д. 42, к. 2",55.677473,37.446012
Школа на проспекте Вернадского,"Проспект Вернадского, д. 127, к. 2",55.653101,37.483616
Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»,"Оршанская улица, дом 14",55.741647,37.408328
